epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1598.62,0.65261,0.41102,1.05521,0.92254,0.89538,0.93683,0.70268,1.03985,0.5314,1.55972,0.000187092,0.000187092,0.000187092
86,1617.42,0.65243,0.40219,1.04812,0.93765,0.88894,0.93963,0.70435,1.03326,0.5325,1.55397,0.000176094,0.000176094,0.000176094
87,1636.24,0.63052,0.39511,1.03771,0.93463,0.89528,0.94316,0.71006,1.01564,0.53095,1.54025,0.000165095,0.000165095,0.000165095
88,1655.03,0.62457,0.39167,1.03715,0.90978,0.90748,0.93581,0.71631,1.00131,0.52128,1.52055,0.000154096,0.000154096,0.000154096
89,1673.84,0.62139,0.38878,1.03242,0.93368,0.89822,0.94266,0.72035,0.99131,0.51445,1.52301,0.000143097,0.000143097,0.000143097
90,1692.65,0.60607,0.37874,1.02604,0.94839,0.89227,0.94185,0.71926,0.99603,0.52504,1.53478,0.000132098,0.000132098,0.000132098
91,1711.73,0.58788,0.31928,1.01563,0.92416,0.90812,0.93242,0.69555,1.03221,0.54085,1.57542,0.000121099,0.000121099,0.000121099
92,1730.4,0.51281,0.2811,0.9552,0.94341,0.8894,0.93569,0.71713,1.00357,0.52449,1.55397,0.0001101,0.0001101,0.0001101
93,1749.07,0.49101,0.27416,0.94468,0.94599,0.88916,0.93515,0.72188,1.00484,0.52962,1.56518,9.91012e-05,9.91012e-05,9.91012e-05
94,1768.14,0.48468,0.26906,0.94341,0.94128,0.9074,0.93847,0.7222,0.9853,0.51946,1.55399,8.81023e-05,8.81023e-05,8.81023e-05
95,1786.89,0.48262,0.26812,0.94216,0.93387,0.90853,0.93796,0.72172,0.98596,0.5139,1.55862,7.71034e-05,7.71034e-05,7.71034e-05
96,1805.56,0.46226,0.25917,0.92834,0.93216,0.90833,0.94199,0.72836,0.97712,0.5125,1.55557,6.61045e-05,6.61045e-05,6.61045e-05
97,1824.39,0.45249,0.2562,0.92221,0.94059,0.9048,0.94107,0.73342,0.96819,0.51267,1.53986,5.51056e-05,5.51056e-05,5.51056e-05
98,1843.33,0.44459,0.25079,0.92209,0.93843,0.90335,0.94123,0.73095,0.96523,0.51475,1.54514,4.41067e-05,4.41067e-05,4.41067e-05
99,1861.97,0.43419,0.24729,0.91932,0.94771,0.90424,0.94247,0.73475,0.9621,0.50458,1.54905,3.31078e-05,3.31078e-05,3.31078e-05
100,1880.75,0.4291,0.2429,0.90792,0.94011,0.89884,0.94207,0.73324,0.9611,0.50958,1.5482,2.21089e-05,2.21089e-05,2.21089e-05
